epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.35,1.93407,5.36861,1.19958,0.81049,0.04439,0.06232,0.04309,1.2581,4.47651,0.84649,5.25431e-05,5.25431e-05,5.25431e-05
2,882.887,1.28016,3.7438,0.88743,0.66524,0.10132,0.10051,0.06788,1.23368,2.39387,0.84916,0.000104498,0.000104498,0.000104498
3,1312.5,1.18753,2.49703,0.86983,0.53001,0.15703,0.13876,0.09531,1.18472,1.7112,0.84862,0.000155404,0.000155404,0.000155404
4,1741.09,1.12918,1.93487,0.86462,0.43083,0.16621,0.15651,0.11005,1.10982,1.45769,0.83767,0.000154278,0.000154278,0.000154278
5,2168.28,1.08467,1.70833,0.85868,0.43107,0.17282,0.16904,0.11919,1.06897,1.35209,0.83379,0.000152704,0.000152704,0.000152704
6,2596.43,1.05138,1.58236,0.85242,0.39115,0.2029,0.18829,0.13754,1.05969,1.28959,0.8319,0.000151129,0.000151129,0.000151129
7,3022.54,1.00996,1.4861,0.8488,0.33697,0.23217,0.20671,0.1516,1.02043,1.27709,0.82512,0.000149555,0.000149555,0.000149555
8,3450.79,0.96728,1.43044,0.84559,0.26666,0.34002,0.22832,0.17284,0.98673,1.22072,0.82313,0.000147981,0.000147981,0.000147981
9,3877.05,0.95676,1.38666,0.84363,0.21879,0.42084,0.24621,0.17874,1.1062,1.18439,0.83311,0.000146407,0.000146407,0.000146407
10,4307.38,0.94723,1.32154,0.84259,0.23685,0.40139,0.26959,0.2036,0.97076,1.15513,0.81782,0.000144833,0.000144833,0.000144833
11,4736.43,0.93404,1.29022,0.83906,0.25826,0.46608,0.29979,0.22854,0.96624,1.135,0.81934,0.000143259,0.000143259,0.000143259
12,5163.99,0.91327,1.24428,0.83717,0.27334,0.48998,0.32894,0.24311,1.12318,1.13633,0.83548,0.000141685,0.000141685,0.000141685
13,5592.3,0.90398,1.20298,0.83572,0.28624,0.55376,0.36783,0.27657,1.08044,1.08283,0.82959,0.000140111,0.000140111,0.000140111
14,6021.23,0.89226,1.17686,0.83365,0.34847,0.54673,0.39846,0.30575,0.95579,1.01805,0.82,0.000138537,0.000138537,0.000138537
15,6449.22,0.88921,1.1334,0.8335,0.35367,0.58357,0.44064,0.33462,0.93919,0.98873,0.82322,0.000136963,0.000136963,0.000136963
16,6878.02,0.87907,1.09925,0.83185,0.39749,0.63746,0.47274,0.35787,1.08973,1.01242,0.82993,0.000135388,0.000135388,0.000135388
17,7304.31,0.8611,1.05993,0.82995,0.38136,0.66961,0.491,0.37712,1.02951,0.98871,0.82671,0.000133814,0.000133814,0.000133814
18,7729.42,0.87628,1.04583,0.83339,0.43361,0.69212,0.54949,0.4212,1.04687,0.94447,0.82837,0.00013224,0.00013224,0.00013224
19,8158.74,0.84892,1.0082,0.83165,0.42114,0.74441,0.55626,0.42537,1.07159,0.93954,0.83195,0.000130666,0.000130666,0.000130666
20,8587.27,0.84426,0.97479,0.82977,0.46474,0.7469,0.60357,0.46319,1.04432,0.91337,0.8326,0.000129092,0.000129092,0.000129092
21,9014.72,0.8284,0.93312,0.82783,0.52329,0.72452,0.63022,0.48744,0.99396,0.87541,0.82779,0.000127518,0.000127518,0.000127518
22,9442.04,0.82079,0.90421,0.82849,0.48705,0.75899,0.64115,0.4816,1.06874,0.88181,0.83488,0.000125944,0.000125944,0.000125944
23,9869.69,0.8224,0.88191,0.82713,0.53686,0.77541,0.68839,0.52113,1.06832,0.85434,0.8373,0.00012437,0.00012437,0.00012437
24,10299,0.82585,0.86095,0.82919,0.54473,0.76572,0.69618,0.52906,1.07773,0.84139,0.8381,0.000122796,0.000122796,0.000122796
25,10726.5,0.80076,0.83638,0.82711,0.61217,0.8112,0.7468,0.57898,1.03846,0.81034,0.83419,0.000121222,0.000121222,0.000121222
26,11152.9,0.80273,0.82286,0.82634,0.65939,0.8059,0.78903,0.59735,1.12252,0.8231,0.84676,0.000119647,0.000119647,0.000119647
27,11581.4,0.79507,0.80592,0.82728,0.66215,0.78191,0.77708,0.6015,1.051,0.78995,0.83546,0.000118073,0.000118073,0.000118073
28,12009.9,0.78895,0.78679,0.82526,0.68351,0.80672,0.81774,0.62368,1.08612,0.78887,0.84269,0.000116499,0.000116499,0.000116499
29,12438.8,0.78879,0.76937,0.82353,0.73111,0.78737,0.82145,0.62473,1.12878,0.77929,0.84645,0.000114925,0.000114925,0.000114925
